"group","individual.local.identifier","timestamp","location.long","location.lat"
"AA","all",2014-01-01 05:00:00,-85.3695772432573,10.5144365958732
"AA","all",2014-01-01 05:30:00,-85.3696062695096,10.5150832795405
"AA","all",2014-01-01 06:00:00,-85.3693837717793,10.5145656759999
"AA","all",2014-01-01 06:30:00,-85.3687333501447,10.5141409580337
"AA","all",2014-01-01 07:00:00,-85.3684563562449,10.5142918182569
"AA","all",2014-01-01 07:30:00,-85.3682164382612,10.5147176887977
"AA","all",2014-01-01 08:00:00,-85.3681910270889,10.5149702285442
"AA","all",2014-01-01 08:30:00,-85.3680380154398,10.514785302803
"AA","all",2014-01-01 09:00:00,-85.3677627746358,10.5145846191109
"AA","all",2014-01-01 09:30:00,-85.3674587421107,10.5143428221378
"AA","all",2014-01-01 10:00:00,-85.3667561709682,10.5141318706431
"AA","all",2014-01-01 10:30:00,-85.365806920472,10.5145436246121
"AA","all",2014-01-01 11:00:00,-85.3646829072975,10.5148298947599
"AA","all",2014-01-01 11:30:00,-85.3637663461275,10.5149496439887
"AA","all",2014-01-01 12:00:00,-85.3636794887119,10.5151631590306
"AA","all",2014-01-01 12:30:00,-85.3631651121966,10.5152660608667
"AA","all",2014-01-01 13:00:00,-85.362765400183,10.5148688494724
"AA","all",2014-01-01 13:30:00,-85.362082421702,10.5146267731193
"AA","all",2014-01-01 14:00:00,-85.3618368529732,10.5141872540132
"AA","all",2014-01-01 14:30:00,-85.3619100339671,10.5142708495326
"AA","all",2014-01-01 15:00:00,-85.3617340484971,10.5137110781333
"AA","all",2014-01-01 15:30:00,-85.3622213374926,10.5131515304899
"AA","all",2014-01-01 16:00:00,-85.3631354193187,10.5135461431937
"AA","all",2014-01-01 16:30:00,-85.3636811020994,10.5138345995415
"AA","all",2014-01-01 17:00:00,-85.3642738144538,10.5145750847081
"AA","all",2014-01-01 17:30:00,-85.3643819130957,10.5145959556103
"AA","all",2014-01-02 05:00:00,-85.3644127446394,10.5147093767809
"AA","all",2014-01-02 05:30:00,-85.363825321196,10.5145841874253
"AA","all",2014-01-02 06:00:00,-85.3633181518853,10.5152819445746
"AA","all",2014-01-02 06:30:00,-85.3626112527508,10.5156866928541
"AA","all",2014-01-02 07:00:00,-85.361571293315,10.5154778296613
"AA","all",2014-01-02 07:30:00,-85.3612271324692,10.5150240697282
"AA","all",2014-01-02 08:00:00,-85.3612315609609,10.5142247211729
"AA","all",2014-01-02 08:30:00,-85.3609140514655,10.5134544410108
"AA","all",2014-01-02 09:00:00,-85.3601922883652,10.512478309803
"AA","all",2014-01-02 09:30:00,-85.3601507451938,10.5118396673643
"AA","all",2014-01-02 10:00:00,-85.3602050989839,10.5113946693028
"AA","all",2014-01-02 10:30:00,-85.3601744659241,10.5110128093513
"AA","all",2014-01-02 11:00:00,-85.3598477646403,10.5115440210012
"AA","all",2014-01-02 11:30:00,-85.3594095166854,10.5121815651714
"AA","all",2014-01-02 12:00:00,-85.3596143146332,10.5128164496557
"AA","all",2014-01-02 12:30:00,-85.3588532269838,10.5144493061224
"AA","all",2014-01-02 13:00:00,-85.3610251273932,10.5144608002472
"AA","all",2014-01-02 13:30:00,-85.3625240642263,10.5147192199323
"AA","all",2014-01-02 14:00:00,-85.3627510880954,10.5148491868805
"AA","all",2014-01-02 14:30:00,-85.3632987029371,10.5151403267571
"AA","all",2014-01-02 15:00:00,-85.3642612694583,10.5156282848227
"AA","all",2014-01-02 15:30:00,-85.3648900410779,10.5155259781336
"AA","all",2014-01-02 16:00:00,-85.3655534658137,10.514809652404
"AA","all",2014-01-02 16:30:00,-85.3666647582549,10.5140823967456
"AA","all",2014-01-02 17:00:00,-85.3678240086162,10.5136143343081
"AA","all",2014-01-02 17:30:00,-85.3682403545827,10.5138963181525
"AA","all",2014-01-04 05:00:00,-85.368709852946,10.5136792968556
"AA","all",2014-01-04 05:30:00,-85.3702565932068,10.5143434374045
"AA","all",2014-01-04 06:00:00,-85.3725398382224,10.5142464870825
"AA","all",2014-01-04 06:30:00,-85.3733055384579,10.5135323340493
"AA","all",2014-01-04 07:00:00,-85.3725253930051,10.512276962409
"AA","all",2014-01-04 07:30:00,-85.3723505743753,10.5116377864255
"AA","all",2014-01-04 08:00:00,-85.3717008790749,10.5111101736975
"AA","all",2014-01-04 08:30:00,-85.3706759120564,10.5108103390391
"AA","all",2014-01-04 09:00:00,-85.369441011826,10.5105074145118
"AA","all",2014-01-04 09:30:00,-85.3680549189514,10.5105426349303
"AA","all",2014-01-04 10:00:00,-85.3674999533121,10.5108456407721
"AA","all",2014-01-04 10:30:00,-85.3669562750395,10.5120998807625
"AA","all",2014-01-04 11:00:00,-85.3662688333222,10.5128420844019
"AA","all",2014-01-04 11:30:00,-85.365130514836,10.5133412406482
"AA","all",2014-01-04 12:00:00,-85.3647033035349,10.5136916043148
